id;name;season;description;image_link
1;Avon Sausages;interfaces;deposit Indiana Developer;Islands Applications Handmade
2;e-business Account;Avon;Moldova syndicate;generate encoding
3;Future Accountability Delaware;Multi-layered Intelligent;networks Creative Human;Loan Cross-group
4;Tunisia;Orchestrator optical;Mobility Crescent redundant;Manager
5;Marketing;Managed boliviano;Shilling;Future
6;Bedfordshire Metrics next;Hampshire Cyprus empowering;Republic orange;Bacon TCP
7;Distributed Diverse;Shoes Chips JBOD;functionalities;Chief Integration
8;Officer functionalities;Card;hub Refined Sol;deposit
9;Chicken Avon Islands;Market;framework;white
10;Coordinator Savings;RSS;Intelligent;Avon
